n_train,frac,split,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Dataset,Model
26075,1.0,validation,1,0.7290579932494631,0.7695526231091084,0.6948561464690497,0.7302993280390959,0.8076737089128714,OULAD (week-4 features),Neural network (MLP)
1303,0.05,train,2,0.6768994627782041,0.6856745479833102,0.7165697674418605,0.7007818052594172,0.744960058612214,OULAD (week-4 features),Neural network (MLP)
1303,0.05,validation,2,0.6747468548634551,0.6803166803166804,0.7242080790467887,0.7015765765765766,0.7487219677979424,OULAD (week-4 features),Neural network (MLP)
2607,0.1,train,2,0.7257383966244726,0.7464578672632364,0.7274709302325582,0.7368421052631579,0.8048497038709312,OULAD (week-4 features),Neural network (MLP)
2607,0.1,validation,2,0.7112611230438785,0.7250938492636443,0.7297297297297297,0.727404403244496,0.7890046210047887,OULAD (week-4 features),Neural network (MLP)
5215,0.2,train,2,0.7261744966442953,0.7572815533980582,0.7083181983290955,0.7319819819819819,0.8039134916108062,OULAD (week-4 features),Neural network (MLP)
5215,0.2,validation,2,0.7138692850567658,0.7402439024390244,0.7056088346410927,0.7225115310221694,0.7915140758505159,OULAD (week-4 features),Neural network (MLP)
10430,0.4,train,2,0.7564717162032598,0.8022000407414952,0.7150898856001453,0.7561443932411674,0.841816027842023,OULAD (week-4 features),Neural network (MLP)
10430,0.4,validation,2,0.7088063823258668,0.7525368248772504,0.6681197326358617,0.707820197044335,0.7891260797526849,OULAD (week-4 features),Neural network (MLP)
15645,0.6,train,2,0.7427932246724193,0.7885558583106267,0.700726392251816,0.742051282051282,0.827888749362706,OULAD (week-4 features),Neural network (MLP)
15645,0.6,validation,2,0.7206198220312979,0.7640156453715776,0.6811973263586166,0.7202335228145644,0.7967787364455672,OULAD (week-4 features),Neural network (MLP)
20860,0.8,train,2,0.7478906999041227,0.7605723082495699,0.7625749046667877,0.7615722899759714,0.8324936591144814,OULAD (week-4 features),Neural network (MLP)
20860,0.8,validation,2,0.7155569193003989,0.730467615451641,0.7308921825050857,0.7306798373038931,0.7948888534398091,OULAD (week-4 features),Neural network (MLP)
26075,1.0,train,2,0.7293959731543624,0.773761931957249,0.6888937313866492,0.7288656624654165,0.8109106880448858,OULAD (week-4 features),Neural network (MLP)
26075,1.0,validation,2,0.7218471923903038,0.7636010362694301,0.6852659110723627,0.7223158217184867,0.7991465209010578,OULAD (week-4 features),Neural network (MLP)
1303,0.05,train,3,0.6983883346124329,0.7191679049034175,0.7034883720930233,0.7112417340191036,0.7793604651162791,OULAD (week-4 features),Neural network (MLP)
1303,0.05,validation,3,0.6769938650306748,0.697372305875406,0.6860296253267499,0.6916544655929722,0.7506620423365395,OULAD (week-4 features),Neural network (MLP)
2607,0.1,train,3,0.7314921365554277,0.7657232704402516,0.7078488372093024,0.7356495468277946,0.8030304819299869,OULAD (week-4 features),Neural network (MLP)
2607,0.1,validation,3,0.7058282208588957,0.7398553004089337,0.6831251815277375,0.7103594080338267,0.7782102717254897,OULAD (week-4 features),Neural network (MLP)
5214,0.2,train,3,0.7353279631760644,0.7554893933755117,0.7373774064656738,0.7463235294117647,0.8150955855774344,OULAD (week-4 features),Neural network (MLP)
5214,0.2,validation,3,0.7171779141104294,0.7403065825067628,0.7153645076967761,0.7276218611521418,0.7905803516689602,OULAD (week-4 features),Neural network (MLP)
10429,0.4,train,3,0.7335314987055327,0.776515919691746,0.6954231747184889,0.7337357478202549,0.8147584682054972,OULAD (week-4 features),Neural network (MLP)
10429,0.4,validation,3,0.7199386503067484,0.7670961347869177,0.6744118501306999,0.717774343122102,0.7994491467948561,OULAD (week-4 features),Neural network (MLP)
15643,0.6,train,3,0.7515182509748769,0.782574974146846,0.7330185252451871,0.7569865582994686,0.8336150116678913,OULAD (week-4 features),Neural network (MLP)
